"locality","divorces_sum","year"
"שאר היישובים",1269,2021
"שאר היישובים",1239,2022
"שאר היישובים",1234,2019
"שאר היישובים",1207,2017
"שאר היישובים",1201,2018
"שאר היישובים",1183,2020
"שאר היישובים",1168,2023
"שאר היישובים",1117,2016
"שאר היישובים",1094,2015
"ירושלים",858,2019
"ירושלים",858,2021
"ירושלים",807,2017
"ירושלים",800,2020
"ירושלים",787,2022
"ירושלים",753,2015
"תל אביב יפו",746,2018
"ירושלים",730,2018
"תל אביב יפו",728,2021
"תל אביב יפו",721,2015
"ירושלים",715,2023
"תל אביב יפו",711,2019
"ירושלים",707,2016
"תל אביב יפו",697,2016
"תל אביב יפו",668,2020
"תל אביב יפו",661,2022
"תל אביב יפו",647,2017
"תל אביב יפו",572,2023
"חיפה",449,2015
"ראשון לציון",446,2017
"חיפה",437,2016
"ראשון לציון",433,2016
"ראשון לציון",428,2019
"פתח תקווה",420,2021
"ראשון לציון",417,2018
"פתח תקווה",413,2020
"נתניה",408,2019
"פתח תקווה",403,2019
"חיפה",402,2017
"חיפה",401,2018
"ראשון לציון",399,2022
"פתח תקווה",398,2018
"ראשון לציון",398,2015
"ראשון לציון",397,2021
"אשדוד",393,2018
"נתניה",393,2020
"נתניה",392,2021
"פתח תקווה",391,2023
"באר שבע",385,2018
"פתח תקווה",385,2015
"פתח תקווה",380,2022
"נתניה",378,2022
"נתניה",375,2023
"ראשון לציון",375,2020
"ראשון לציון",375,2023
"נתניה",373,2018
"אשדוד",372,2019
"חיפה",370,2019
"נתניה",369,2015
"נתניה",366,2016
"חיפה",364,2021
"חולון",359,2015
"באר שבע",355,2020
"חיפה",355,2020
"באר שבע",350,2021
"פתח תקווה",350,2016
"פתח תקווה",348,2017
"באר שבע",347,2016
"חולון",347,2018
"אשדוד",346,2016
"באר שבע",339,2022
"באר שבע",337,2023
"נתניה",336,2017
"חיפה",335,2023
"באר שבע",330,2015
"אשדוד",327,2020
"באר שבע",327,2019
"חולון",327,2017
"אשדוד",326,2017
"אשדוד",326,2023
"אשדוד",323,2021
"חיפה",321,2022
"חולון",320,2019
"אשדוד",318,2022
"אשדוד",317,2015
"חולון",306,2016
"באר שבע",305,2017
"חולון",301,2021
"חולון",298,2023
"חולון",294,2020
"רחובות",282,2018
"אשקלון",279,2019
"חולון",272,2022
"רחובות",272,2021
"רחובות",267,2023
"אשקלון",264,2020
"רמת גן",264,2020
"רחובות",263,2019
"רמת גן",263,2016
"רמת גן",258,2018
"רמת גן",254,2019
"אשקלון",251,2021
"אשקלון",248,2022
"רחובות",247,2022
"רמת גן",237,2023
"רמת גן",236,2022
"רחובות",234,2017
"רמת גן",234,2021
"רמת גן",233,2015
"רמת גן",230,2017
"רחובות",227,2016
"רחובות",225,2015
"אשקלון",221,2023
"אשקלון",213,2015
"חדרה",212,2019
"אשקלון",210,2017
"אשקלון",208,2018
"אשקלון",204,2016
"רחובות",204,2020
"בת ים",203,2019
"חדרה",200,2021
"חדרה",190,2018
"כפר סבא",189,2021
"בת ים",186,2017
"בת ים",186,2020
"בת ים",185,2018
"חדרה",185,2020
"בני ברק",182,2021
"בת ים",181,2021
"מודיעין-מכבים-רעות",181,2017
"בני ברק",179,2018
"הרצליה",178,2015
"חדרה",178,2017
"בני ברק",176,2016
"בת ים",175,2015
"חדרה",174,2015
"מודיעין-מכבים-רעות",174,2020
"חדרה",173,2016
"כפר סבא",173,2016
"מודיעין-מכבים-רעות",173,2019
"בת ים",172,2016
"בני ברק",168,2022
"כפר סבא",166,2019
"הרצליה",165,2018
"חדרה",165,2022
"מודיעין-מכבים-רעות",165,2021
"בת ים",163,2023
"הרצליה",162,2023
"כפר סבא",162,2020
"כפר סבא",161,2022
"הרצליה",159,2020
"כפר סבא",159,2017
"הרצליה",157,2022
"כפר סבא",156,2015
"בית שמש",155,2023
"בני ברק",155,2019
"בני ברק",155,2020
"הרצליה",152,2016
"הרצליה",152,2017
"חדרה",152,2023
"מודיעין-מכבים-רעות",152,2018
"כפר סבא",151,2023
"בת ים",149,2022
"כפר סבא",149,2018
"רעננה",149,2023
"מודיעין-מכבים-רעות",148,2022
"בית שמש",146,2021
"מודיעין-מכבים-רעות",145,2023
"בית שמש",143,2019
"ראש העין",142,2021
"בני ברק",140,2017
"מודיעין-מכבים-רעות",140,2016
"הרצליה",139,2019
"ראש העין",138,2023
"בני ברק",137,2023
"מודיעין-מכבים-רעות",137,2015
"ראש העין",135,2022
"בני ברק",133,2015
"הרצליה",133,2021
"רעננה",132,2015
"בית שמש",131,2022
"בית שמש",130,2020
"רעננה",128,2016
"קריית אתא",124,2019
"בית שמש",122,2016
"בית שמש",122,2017
"רעננה",122,2019
"אילת",120,2015
"הוד השרון",120,2021
"נהרייה",120,2016
"קריית אתא",120,2021
"רעננה",120,2022
"נהרייה",119,2017
"עפולה",118,2023
"רעננה",118,2021
"הוד השרון",115,2018
"הוד השרון",115,2019
"רעננה",115,2018
"יבנה",113,2022
"ראש העין",113,2020
"קריית אתא",112,2015
"רעננה",112,2020
"קריית אתא",111,2016
"קריית גת",111,2021
"רמלה",111,2019
"יבנה",110,2019
"ראש העין",110,2019
"אילת",109,2020
"רמלה",109,2015
"נהרייה",108,2021
"קריית גת",108,2020
"ראש העין",108,2016
"ראש העין",108,2018
"הוד השרון",107,2023
"רמלה",107,2022
"יבנה",106,2023
"בית שמש",104,2018
"נהרייה",104,2018
"קריית גת",104,2019
"יבנה",103,2018
"נס ציונה",103,2019
"עפולה",103,2020
"רעננה",103,2017
"יבנה",102,2020
"עפולה",102,2022
"אילת",101,2018
"הוד השרון",101,2022
"עפולה",101,2021
"קריית אתא",101,2022
"רמלה",101,2018
"אילת",100,2022
"נהרייה",100,2015
"קריית אתא",100,2017
"קריית אתא",100,2018
"רמלה",100,2023
"אילת",99,2016
"אילת",99,2019
"אילת",99,2021
"הוד השרון",99,2020
"רמלה",99,2020
"רמת השרון",99,2016
"הוד השרון",98,2015
"הוד השרון",98,2016
"נהרייה",98,2023
"בית שמש",97,2015
"אילת",96,2017
"נס ציונה",96,2018
"נהרייה",95,2022
"קריית אתא",95,2023
"גבעתיים",94,2017
"הוד השרון",94,2017
"טבריה",94,2019
"אילת",92,2023
"גבעתיים",92,2016
"טבריה",92,2015
"טבריה",92,2018
"נהרייה",92,2019
"קריית גת",92,2022
"קריית גת",92,2023
"יבנה",91,2017
"עכו",91,2016
"טבריה",90,2021
"לוד",90,2018
"לוד",89,2021
"נתיבות",89,2023
